ID,Title,"Report Year",Status,"Year Adopted","Date of Last Event",Level,State,County,County,Municipality,Type,Content,Citations
3074,"Bannock County",2025,"In effect",2024,2024,Local,ID,"Bannock County",16005,,Solar|Wind,"In October 2023, the Bannock County Board of Commissioners enacted a 180-day moratorium on permits for large-scale energy projects. Then, in March 2024, the board enacted an ordinance that bans solar farms capable of producing 10 MW or more of energy, storing 10 MW or more of energy, or which encompass 100 or more acres of land. The ordinance also categorically bans commercial-scale wind turbines and limits non-commercial wind turbines to two turbines per lot.","What’s happening with solar farms in Bannock County, Bannock County, https://www.bannockcounty.us/solar/ (last visited Oct. 1, 2024); Logan Ramsey, Bannock County Commission votes to ban large-scale solar and wind projects after packed public hearing, East Idaho News, March 26, 2024, https://www.eastidahonews.com/2024/03/bannock-county-commissioners-vote-to-ban-large-scale-solar-and-wind-projects-after-packed-public-hearing/; Bannock County, Idaho, Proposed Amendments to Bannock County Zoning Ordinance 1998-1 (Feb. 2024), https://www.bannockcounty.us/wp-content/uploads/2024/02/Solar-Ordinance-Draft-Proposal-6.pdf."
3075,"Barton County",2025,"In effect",2023,2024,Local,KS,"Barton County",20009,,Solar,"In May 2023, the Barton County Commission voted to require any solar farm to be 6 miles away from Cheyenne Bottoms—a wetland complex with significant wildlife—and placed a moratorium on commercial solar projects until the end of the year. In March 2024, the Commission approved an amendment to the zoning regulations, updating the zoning map of Barton County to reflect “an addition of a ‘no build’ zone around Cheyenne Bottoms as it pertains to the development of ‘Large Scale Non-Commercial Solar Energy Conversion Systems.","Barton County, Kan., Resolution 2023-12 (Temporary Moratorium on Commercial Solar Energy Project Development) (adopted May 17, 2023), https://www.bartoncounty.org/vimages/shared/vnews/stories/516eb52b3853d/Resolution%202023-12%20Temporary%20Moratorium%20on%20Commercial%20Solar%20Energy%20Project%20Development%20-%20Adopted%20-%2005%2017%202023.pdf; Jackson Overstreet, ‘If there is a sacred place in Kansas, this is it’: Barton County Commission puts in temporary ban on solar farms, Kake, May 10, 2023, https://www.kake.com/story/48889571/if-there-is-a-sacred-place-in-kansas-this-is-it-barton-county-commission-puts-in-temporary-ban-on-solar-farms; Allison Kite, Kansas solar development sparks emotional debate over location near Cheyenne Bottoms, Kansas Reflector, Mar. 31, 2024, https://kansasreflector.com/2024/03/31/kansas-solar-development-sparks-emotional-debate-over-location-near-cheyenne-bottoms; Barton County, Kan., Resolution No. 2024-12 (adopted Apr. 3, 2024), https://www.bartoncounty.org/vimages/shared/vnews/stories/65aeb550022f2/2024-12%20Official%20Zoning%20Map%20Resolution%20Only.pdf."
3076,"Batavia Township (Branch County)",2025,"In effect",2020,2020,Local,MI,"Branch County",26023,"Batavia Township",Wind,"The Batavia Township Board approved a restrictive wind ordinance in September 2020 that limits the height of wind turbines to 330 feet. The restrictions were promoted aggressively on Facebook by a group called Concerned Citizens of Branch County in response to efforts by DTE Energy to develop a wind farm in the area. DTE Energy put the wind farm on hold in August 2020, after the neighboring townships of Matteson and Sherwood adopted their own restrictions on wind energy and while the Batavia restrictions were still pending.","Jim Measel, Batavia Becomes Latest Township to Limit Wind Turbines, WTVB, Sept. 3, 2020, https://wtvbam.com/2020/09/03/batavia-becomes-latest-township-to-limit-wind-turbines/1054859/; Don Reid, DTE Puts Branch Wind Farm on Hold, The Daily Reporter, Aug. 6, 2020, https://www.thedailyreporter.com/story/business/energy-resource/2020/08/06/dte-puts-branch-wind-farm-on-hold/114413196."
3077,"Beaver Township (Bay County)",2025,"In effect",2018,2022,Local,MI,"Bay County",26017,"Beaver Township",Solar|Wind,"In May 2018, Beaver Township adopted restrictions on wind energy amidst opposition to DTE Energy’s plans to develop a wind farm in the area. DTE Energy argued that the noise limit was “so low that it basically would not allow any turbine in any 1-mile by 1-mile section.” As of October 2022, the township’s zoning ordinance requires that wind turbines be set back at least 1,760 feet from property lines or 4 times tower height, whichever is greater, and limits shadow flicker to zero; it also limits the height of commercial solar energy systems to 12 feet and requires that they be set back 500 feet from property lines.","Isis Simpson-Mersha, DTE says township ordinance makes wind farm project ‘impossible’, M Live Michigan, May 16, 2018, https://www.mlive.com/news/bay-city/2018/05/township_makes_it_impossible_f.html; Beaver Township, Mich., Zoning Ordinance §§ 3.24(4)(b), 3.24(4)(c), 3.25(d)(2), 3.25(d)(7), 3.25(d)(11) (Oct. 26, 2022), https://storage.googleapis.com/wzukusers/user-25065735/documents/3d57f0d79e60488aab2185a88cb343c4/Zoning%20Ordinance%202019-02%20Amended%2010-26-22.pdf"
3078,"Bedford Township (Monroe County)",2025,"In effect",2021,2021,Local,MI,"Monroe County",26115,"Bedford Township",Solar,"As of September 2021, Bedford Township only allowed solar development in industrial-zoned districts, excluding it from agricultural districts.","Blake Bacho, Bedford board balks at solar field proposal, Monroe News, Sept. 13, 2021, https://www.monroenews.com/story/news/2021/09/13/bedford-board-balks-solar-field-proposal/8283113002/."
3079,"Berlin Charter Township (Monroe County)",2025,"In effect",2020,2020,Local,MI,"Monroe County",26115,"Berlin Charter Township",Solar,"Berlin Charter Township’s zoning code, last amended in February 2020, disallows solar development in agricultural-zoned districts and limits it to a special use in industrial-zoned districts.","Berlin Charter Township, Mich., Code of Ordinances § 18-173(d)(1) (as amended Feb. 10, 2020), https://library.municode.com/mi/berlin_charter_township,_(monroe_co.)/codes/code_of_ordinances?nodeId=COOR_CH18ZO_ARTVIIISPUSST_S18-173SOENCO."
3080,"Bingham County",2025,"In effect",2012,2012,Local,ID,"Bingham County",16011,,Wind,"Under a 2012 ordinance, commercial wind turbines must be set back at least 3 times the tower height from the exterior line of the project unless an agreement with affected property owners is reached. In all instances, the setback must be at least 1.5 times the tower height. Further, commercial wind turbines must be set back an additional 1 mile from “all platted Town sites and/or incorporated cities.”","Bingham County, Idaho, Code of Ordinances § 10-7-44(D) (2012), https://codelibrary.amlegal.com/codes/binghamcoid/latest/binghamco_id/0-0-0-2766."
3081,"Bonneville County",2025,"In effect",2010,2010,Local,ID,"Bonneville County",16019,,Wind,"In 2010, the Bonneville County Planning and Zoning Commission significantly restricted wind development to a specific “turbine zone” in the southern portion of the county. However, the current version of the ordinance does not appear to reference this restricted zone.","The Associated Press, E. Idaho county restricts wind farm development, Middletown Journal, Nov. 19, 2010, https://www.windaction.org/posts/28953-e-idaho-county-restricts-wind-farm-development; Bonneville County, Idaho, Zoning Ordinance § 1-443 (Feb. 28, 2011), https://bonneville-county-planning-and-zoning-bonneville.hub.arcgis.com/pages/zoning-ordinance."
3082,"Boone County",2025,"In effect",2009,2024,Local,IN,"Boone County",18011,,Solar|Wind|Storage,"Boone County banned wind farms in or around 2009 after wind energy developers approached the county about potential development opportunities. In April 2024, the Boone County Board of Commissioners adopted a new 2-year moratorium on large-scale solar, wind, and storage projects.","Gus Pearcy, Wind Farms in Boone County Are Not Likely, Batesville Herald-Tribute, Oct. 4, 2019, https://www.wind-watch.org/news/2019/10/05/wind-farms-in-boone-county-are-not-likely/; Boone County, Iowa, Ordinance No. 2024-06 (Apr. 15, 2024), https://boonecounty.in.gov/wp-content/uploads/2024/04/Solar-and-Wind-Moratorium.pdf."
3083,"Boone County",2025,"In effect",2021,2021,Local,MO,"Boone County",29019,,Wind,"New wind regulations approved preventing turbines within 1750 feet of residential property with a maximum height of 263 feet.","Cameron Gerber, Boone County Commission enacts new wind power regulations, The Missouri Times, Nov. 5, 2021, https://themissouritimes.com/boone-county-commission-enacts-new-wind-power-regulations; Welcome to the Wind Farm Frequently Asked Questions Page!, Boone County Government, https://www.showmeboone.com/resource-management/WECOD/WindFarmFAQ.asp (last visited Feb. 6, 2023)."
3084,"Boyle County",2025,"In effect",2023,2024,Local,KY,"Boyle County",21021,,Solar,"Boyle County prohibits ground-mounted solar panel systems from being the primary use of a property in an agricultural district if the property is smaller than ten acres.","Boyle County, Kentucky, Joint Zoning Ordinance Sec. 4.3.5(D)(5), https://eec.ky.gov/Energy/Documents/Boyle%20County%20Solar%20Ordinance.pdf."
3085,"Bridgehampton Township (Sanilac County)",2025,Expired,2016,2016,Local,MI,"Sanilac County",26151,"Bridgehampton Township",Wind,"In March 2016, a Bridgehampton Township council member moved for a wind moratorium, but this moratorium was eventually rejected. Bridgehampton then adopted a six-month moratorium on new wind development in November 2016 under a new board supervisor.","Beth LeBlanc, Sanilac townships put a stay on wind projects, The Times Herald, Mar. 13, 2016, https://www.thetimesherald.com/story/news/local/2016/03/13/sanilac-townships-put-stay-wind-projects/81634650/; Beth LeBlanc, Bridgehampton nixes wind mill moratorium, The Times Herald, Apr. 18, 2016, https://www.thetimesherald.com/story/news/local/2016/04/18/bridgehampton-nixes-wind-mill-moratorium/83069364/; Eric Levine, Bridgehampton Township proposes wind zoning – again, Sanilac County News, Dec. 21, 2016, https://sanilaccountynews.mihomepaper.com/articles/bridgehampton-township-proposes-wind-zoning-again/."
3086,"Brown County",2025,Expired,2022,2022,Local,KS,"Brown County",20013,,Wind,"In July 2022, Brown County adopted a moratorium on wind energy facility permitting in order to work on zoning regulations.","Adam Clay, County puts Wind Energy Moratorium in place, Hiawatha World, July 6, 2022, https://www.hiawathaworldonline.com/news/county-puts-wind-energy-moratorium-in-place/article_69d7a846-fd43-11ec-b23a-8747f6a54733.html."
3087,"Brown County",2025,"In effect",2020,2020,Local,NE,"Brown County",31017,,Wind,"As of May 2020, the Brown County Zoning Regulations require that commercial wind turbines be set back 1 mile from property lines and roads.","Brown County, Neb., Zoning Regulations § 6.56 (May 2020), https://browncounty.ne.gov/pdfs/planning_zoning/Zoning%20Regulations.pdf."
3088,"Brown County",2025,"In effect",2022,2022,Local,OH,"Brown County",39015,,Solar|Wind,"In August 2022, the Brown County Board of Commissioners approved a resolution under S.B. 52 establishing all unincorporated areas of the county as a restricted area in which the construction of large solar facilities and large or economically-significant wind farms are prohibited.","Adam Clay, County puts Wind Energy Moratorium in place, Hiawatha World, July 6, 2022, https://www.hiawathaworldonline.com/news/county-puts-wind-energy-moratorium-in-place/article_69d7a846-fd43-11ec-b23a-8747f6a54733.html."
3089,"Brunswick County",2025,"In effect",2021,2021,Local,NC,"Brunswick County",37019,,Wind,"In August 2021, the Brunswick County Board of Commissioners approved a resolution opposing wind farms within 24 nautical miles of the coast. The towns of Ocean Beach Isle and Sunset Beach and the Village of Bald Head Island, all within Brunswick County, passed similar resolutions.   The resolutions are nonbinding.","Preston Lennon, Prospect of visible ocean wind farms unites Brunswick towns in opposition, Port City Daily, Aug. 3, 2021, https://portcitydaily.com/local-news/2021/08/03/prospect-of-viewable-wind-farms-unites-brunswick-towns-in-opposition; Village of Bald Head Island, Council Meeting Agenda Item: Request to Adopt Resolution in Opposition to Issuance of Wind Energy Leases within 24 Nautical Miles of North Carolina’s Shores, May 21, 2021."
3090,"Brunswick County",2025,"In effect",2023,2023,Local,VA,"Brunswick County",51025,,Solar,"Brunswick County’s zoning ordinance limits the cumulative acreage of solar development in the county to 8,600 acres. In March 2023, the Brunswick County Board of Supervisors amended the solar ordinance to clarify that this acreage refers to the land under PV panel coverage, not the total acreage of the solar farm parcels.","Sylvia Allen, Supervisors amend solar ordinance, Brunswick Times-Gazette, March 28, 2023, https://www.brunswicktimes-gazette.com/article_4f7dc64c-cca5-11ed-a9e4-67050174dff7.html; Brunswick County, Va., Code § 23-406(b), https://library.municode.com/va/brunswick_county/codes/code_of_ordinances?nodeId=CO_APXBZO_ART23SOFA_S23-406DEST."
3091,"Buchanan County",2025,"In effect",2020,2020,Local,MO,"Buchanan County",29021,,Wind,"In March 2020, the Buchanan County Commission banned commercial wind turbines, citing property devaluation, noise, and effects on quality of life. In adopting the ban, the commission also noted that “[n]ot a single member of the public testified at the public hearings in favor of allowing commercial wind-energy projects.”","Clayton Anderson, County commissioners ban commercial wind energy, St. Joseph News-Press, Mar. 12, 2020, https://www.newspressnow.com/news/local_news/county-commissioners-ban-commercial-wind-energy/article_f75a6494-6473-11ea-9dcc-a3e7fbffb265.html."
3092,"Buckingham County",2025,"In effect",2023,2023,Local,VA,"Buckingham County",51029,,Solar,"In December 2023, Buckingham County adopted a solar ordinance that limits cumulative solar development to 1,600 MW or 7,500 acres.","Rachel Austin, What does the new Buckinham County solar policy look like?, Farmville Herald, Dec. 19, 2023, https://www.farmvilleherald.com/2023/12/what-does-the-new-buckingham-county-solar-policy-look-like/."
3093,"Buffalo County",2025,"In effect",2023,2023,Local,NE,"Buffalo County",31019,,Wind,"In March 2023, the Buffalo County Commissioners adopted new setback requirements for wind turbines that require distances of: 2 miles from any burial site or the Platte River; 3 miles from any agriculture residential zoned property; 3 miles from property lines of nonparticipants; 3 miles from any church, hospital, pool, or park; 5 miles from any village or city; 5 miles from any wildlife preservation area.","Michael Shively, Buffalo County sets new distancing requirements for possible wind farms, News Channel Nebraska Central, Mar. 22, 2023, https://central.newschannelnebraska.com/story/48594025/buffalo-county-sets-new-distancing-requirements-for-possible-wind-farms."
3094,"Burnside Township (Lapeer County)",2025,"In effect",2018,2018,Local,MI,"Lapeer County",26087,"Burnside Township",Wind,"In February 2018, the Burnside Township Board of Trustees passed multiple amendments further restricting wind energy in their town. The amendments limited noise to 45 dBa and established setbacks of 1,640 or 3.5 times turbine max blade tip height from inhabited structures and adjacent non-participating property lines. Representatives of DTE Energy, which was considering a wind energy project in Burnside, stated that the amendments would effectively ban wind turbines in Burnside.","Andrew Dietderich, Burnside officials clamp down on wind turbines, The County Press, Feb. 28, 2018, https://thecountypress.mihomepaper.com/articles/burnside-township-officials-clamp-down-on-wind-turbines/."
3095,"Burt County",2025,"In effect",2024,2024,Local,NE,"Burt County",31021,,Wind,"In December 2024, the Burt County Board of Supervisors adopted new zoning regulations that require commercial wind turbines to be set back 3 miles from any towns or villages, 1 mile from property lines, and 0.5 miles from any occupied dwelling. The ordinance further limits the number of turbines in the county to a cumulative total of 20 turbines, prohibits shadow flicker on roads, and provides that noise shall not exceed 40 dBA from any dwelling on a nonparticipating property, except during periods of severe weather.","Burt County, Neb., Zoning Regulations 6.03(D)(3)-(4) (updated Dec. 27, 2024), https://burtcountyne.gov/planning-and-zoning/forms-permits-and-regulations/ (last visited May 22, 2025);see also Nebraska wind project runs into opposition by residents, OK Energy Today, Feb. 24, 2020, http://www.okenergytoday.com/2020/02/nebraska-wind-project-runs-into-opposition-by-residents."
3096,"Butler County",2025,"In effect",2022,2022,Local,IA,"Butler County",19023,,Wind,"Last amended in November 2022, Butler County’s zoning ordinance for unincorporated areas includes a number of restrictions on wind development. Commercial wind turbines must be set back 1,640 feet from participating property lines and 1,800 feet from non-participating property lines. Commercial wind turbines must also remain below 40 dBa.","Butler County, Iowa, Ordinance Title VI Number 28 (November 1, 2022), https://butlercounty.iowa.gov/images/Butler_County_Zoning_Ordinance_No_28_11-1-22.pdf."
3097,"Butler County",2025,"In effect",2022,2022,Local,OH,"Butler County",39017,,Solar|Wind,"Butler County, Ohio, Board of Commissioners Meeting Minutes at 3 (June 23, 2022), http://butlercountyoh.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=1747&Inline=True; see also Jake Zuckerman, Ten Ohio counties ban wind, solar projects under new state law, Ohio Capital Journal, Aug. 23, 2022, https://ohiocapitaljournal.com/2022/08/23/nine-ohio-counties-ban-wind-solar-projects-under-new-state-law/.","Butler County, Ohio, Board of Commissioners Meeting Minutes at 3 (June 23, 2022), http://butlercountyoh.iqm2.com/Citizens/FileOpen.aspx?Type=15&ID=1747&Inline=True; see also Zuckerman, supra."
3098,"Calhoun County",2025,"In effect",2023,2023,Local,SC,"Calhoun County",45017,,Solar,"In March 2023, the Calhoun County Council adopted a 6-month moratorium on the development of solar farms outside of industrial areas in unincorporated areas of the county. The moratorium did not apply to previously approved solar projects.  n October 2023, the county approved a solar ordinance that established 500-foot setbacks from town and subdivision boundaries.","Gene Zaleski, Calhoun County Council: Solar farm freeze finalized, Times and Democrat, Mar. 29, 2023, https://thetandd.com/news/local/calhoun-county-council-solar-project-moratorium-considered/article_e3c372ed-652f-5844-a5f6-9592fdbe18c4.html; Caleb Bozard, Calhoun County Council: New solar farm rules advance, Times and Democrat, Sept. 20, 2023, https://thetandd.com/news/local/calhoun-county-council-new-solar-farm-rules-advance/article_1e91b54a-5407-11ee-8aca-df79a7160fab.html; Caleb Bozard, Calhoun County Council: Solar farm rules finalized, Times and Democrat, Oct. 9, 2023, https://thetandd.com/news/local/calhoun-county-council-solar-farm-rules-finalized/article_8ab185ba-62d1-11ee-a31e-c75de3b6928f.html."
3099,"Carroll County",2025,"In effect",2024,2024,Local,MD,"Carroll County",24013,,Solar,"On March 9, 2023, Carroll County adopted a 6-month moratorium on applications for community solar farms on land currently zoned for agricultural purposes. In December 2024, the Carroll County Board of Commissioners amended its land use ordinance to increase restrictions on commercial solar projects. Under the new ordinance, ground-mounted solar systems in residential and commercial districts cannot exceed 480 square feet, and projects must be set back at least 400 feet from any public transportation corridors. In addition, the height of ground-mounted systems cannot exceed 15 feet, and facilities must include a 12-foot-tall vegetative buffer along all property lines.","Carroll County, Md. Ordinance No. 2024-10 (amending § 158.153 Solar) (adopted July 13, 2024), https://www.carrollcountymd.gov/media/zfldptqb/ordinance-no-2024-10-amend-158153-solar.pdf."
